Entry Date,Faculty,Publication Type,Year,Title,Role,Affiliation,Status,Reference,Theme,,,,,,,,,,,,,,,,
2025-05-23,Farid Panjwani,Book Chapter,2025,"Malaise of Artificial Intelligence in Education: A Reflective Stance
",Secondary Author,IED,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,,,,,,,,,,,,,,,,
2025-05-23,Sadia Muzaffar Bhutta,Book Chapter,2025,"Malaise of Artificial Intelligence in Education: A Reflective Stance
",Secondary Author,IED,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,,,,,,,,,,,,,,,,
2025-05-23,Sohail Ahmad,Book Chapter,2025,"Malaise of Artificial Intelligence in Education: A Reflective Stance
",Secondary Author,Alumni/Student,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,,,,,,,,,,,,,,,,
2025-05-21,Nazim Aman,Article,2025,Muslim teachers’ voices on citizenship education: negotiating faith and democracy,Main Author,IED,Published,"Aman-Hunzai, N., Kennedy, K. J., & Zhao, Z. (2025). Muslim teachers’ voices on citizenship education: negotiating faith and democracy. Journal of Beliefs & Values, 1–19. https://doi.org/10.1080/13617672.2025.2504828",,,,,,,,,,,,,,,,,
2025-05-21,Kerry J. Kennedy,Article,2025,Muslim teachers’ voices on citizenship education: negotiating faith and democracy,Secondary Author,External,Published,"Aman-Hunzai, N., Kennedy, K. J., & Zhao, Z. (2025). Muslim teachers’ voices on citizenship education: negotiating faith and democracy. Journal of Beliefs & Values, 1–19. https://doi.org/10.1080/13617672.2025.2504828",,,,,,,,,,,,,,,,,
2025-05-21,Zhenzhou Zhao,Article,2025,Muslim teachers’ voices on citizenship education: negotiating faith and democracy,Secondary Author,External,Published,"Aman-Hunzai, N., Kennedy, K. J., & Zhao, Z. (2025). Muslim teachers’ voices on citizenship education: negotiating faith and democracy. Journal of Beliefs & Values, 1–19. https://doi.org/10.1080/13617672.2025.2504828",,,,,,,,,,,,,,,,,
2025-05-07,Nasima Shakeel,Article,2024,A Quest for Gender Equity: Exploring the Existing Positioning of Children and Teachers in an Early Childhood Classroom in Karachi Pakistan,Main Author,IED,Published,"Shakeel, N., & Ashraf, D. (2024). A quest for gender equity: Exploring the existing positioning of children and teachers in an early childhood classroom in Karachi, Pakistan. Journal of Education & Social Sciences, 12(1), 68–82.",,,,,,,,,,,,,,,,,
2025-05-07,Dilshad Ashraf,Article,2024,A Quest for Gender Equity: Exploring the Existing Positioning of Children and Teachers in an Early Childhood Classroom in Karachi Pakistan,Secondary Author,IED,Published,"Shakeel, N., & Ashraf, D. (2024). A quest for gender equity: Exploring the existing positioning of children and teachers in an early childhood classroom in Karachi, Pakistan. Journal of Education & Social Sciences, 12(1), 68–82.",,,,,,,,,,,,,,,,,
2025-05-02,Tasneem Anwar,Book Chapter,2025,Muslim Women in STEM: Stories From the East and West,Main Author,IED,Published,"El-Deghaidy, H. & Anwar, T. (2025). Muslim Women in STEM: Stories From the East and West. In M. Shahat & S. Al-Balushi (Eds.), Cross-Cultural Comparisons of Science Education (pp. 75-94). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-5743-9.ch003",,,,,,,,,,,,,,,,,
2025-05-02,Heba EL-Deghaidy,Book Chapter,2025,Muslim Women in STEM: Stories From the East and West,Secondary Author,External,Published,"El-Deghaidy, H. & Anwar, T. (2025). Muslim Women in STEM: Stories From the East and West. In M. Shahat & S. Al-Balushi (Eds.), Cross-Cultural Comparisons of Science Education (pp. 75-94). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-5743-9.ch003",,,,,,,,,,,,,,,,,
2025-04-09,Fozia Parveen,Article,2025,"The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan",Secondary Author,External,Published,"Jabeen, T., Parveen, F., & Shakeel, N. (2025). The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan. The Journal of Environmental Education, 1–15. https://doi.org/10.1080/00958964.2025.2480112",,,,,,,,,,,,,,,,,
2025-04-09,Nasima Shakeel,Article,2025,"The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan",Secondary Author,IED,Published,"Jabeen, T., Parveen, F., & Shakeel, N. (2025). The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan. The Journal of Environmental Education, 1–15. https://doi.org/10.1080/00958964.2025.2480112",,,,,,,,,,,,,,,,,
2025-04-09,Tahira Jabeen,Article,2025,"The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan",Main Author,Alumni/Student,Published,"Jabeen, T., Parveen, F., & Shakeel, N. (2025). The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan. The Journal of Environmental Education, 1–15. https://doi.org/10.1080/00958964.2025.2480112",,,,,,,,,,,,,,,,,
2025-02-07,Rabia Nauman,Article,2025,"Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies
",Main Author,IED,Published,"Nauman, R., & Habib, Z. (2025). Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies . Hamdard Educus, 3(2), 09–29. Retrieved from https://hamdardeducus.com/index.php/he/article/view/56",,,,,,,,,,,,,,,,,
2025-02-07,Zehra Habib,Article,2025,"Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies
",Secondary Author,External,Published,"Nauman, R., & Habib, Z. (2025). Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies . Hamdard Educus, 3(2), 09–29. Retrieved from https://hamdardeducus.com/index.php/he/article/view/56",,,,,,,,,,,,,,,,,
2025-02-06,Sohail Ahmad,Book Chapter,2025,Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell.,Main Author,IED,Published,"Ahmad, S., & Rizvi, M. (2024). Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell. In M. D. Lytras & A. C. Serban (Eds.), Academic accreditation and evaluation in higher education: Practices, experiences, and quality assurance (pp. 137-162). IGI Global Scientific Publishing",,,,,,,,,,,,,,,,,
2025-02-06,Meher Rizvi,Book Chapter,2025,Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell.,Secondary Author,IED,Published,"Ahmad, S., & Rizvi, M. (2024). Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell. In M. D. Lytras & A. C. Serban (Eds.), Academic accreditation and evaluation in higher education: Practices, experiences, and quality assurance (pp. 137-162). IGI Global Scientific Publishing",,,,,,,,,,,,,,,,,
2025-01-24,Sadia Muzaffar Bhutta,Book Chapter,2025,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Main Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,,,,,,,,,,,,,,,,
2025-01-24,Aisha Naz Ansari,Book Chapter,2025,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,,,,,,,,,,,,,,,,
2025-01-24,Sohail Ahmad,Book Chapter,2025,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,,,,,,,,,,,,,,,,
2025-01-24,Kiran Qasim Ali,Book Chapter,2025,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,,,,,,,,,,,,,,,,
2025-01-24,Afaq Ahmed,Book Chapter,2025,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,External,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,,,,,,,,,,,,,,,,
2025-01-22,Arusa Lakhani,Article,2025,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Main Author,External,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045
",,,,,,,,,,,,,,,,,
2025-01-22,Tazeen Saeed Ali,Article,2025,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045
",,,,,,,,,,,,,,,,,
2025-01-22,Dilshad Ashraf,Article,2025,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Secondary Author,IED,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045
",,,,,,,,,,,,,,,,,
2025-01-22,Debora Kramer Roy,Article,2025,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045
",,,,,,,,,,,,,,,,,
2025-01-22,Arusa Lakhani,Article,2024,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Main Author,External,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,,,,,,,,,,,,,,,,
2025-01-22,Tazeen Saeed Ali,Article,2024,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,,,,,,,,,,,,,,,,
2025-01-22,Dilshad Ashraf,Article,2024,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Secondary Author,IED,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,,,,,,,,,,,,,,,,
2025-01-22,Debora Kramer Roy,Article,2024,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,,,,,,,,,,,,,,,,
2025-01-22,Arusa Lakhani,Article,2024,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Main Author,External,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,,,,,,,,,,,,,,,,
2025-01-22,Tazeen Saeed Ali,Article,2024,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Secondary Author,External,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,,,,,,,,,,,,,,,,
2025-01-22,Dilshad Ashraf,Article,2024,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Secondary Author,IED,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,,,,,,,,,,,,,,,,
2025-01-22,Debora Kramer Roy,Article,2024,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Secondary Author,External,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,,,,,,,,,,,,,,,,
2025-01-10,Sadia Muzaffar Bhutta,Article,2024,School System and Student Performance: Examining Science and Mathematics Achievement in Pakistan,Main Author,IED,Published,"Bhutta, S. M., Ahmad, S., & Ansari, A. N. (2024). School system and student performance: Examining science and mathematics achievement in Pakistan. UMT Education Review, 7(2), 22–49. https://doi.org/10.32350/uer.72.02",,,,,,,,,,,,,,,,,
2025-01-10,Sohail Ahmad,Article,2024,School System and Student Performance: Examining Science and Mathematics Achievement in Pakistan,Secondary Author,Alumni/Student,Published,"Bhutta, S. M., Ahmad, S., & Ansari, A. N. (2024). School system and student performance: Examining science and mathematics achievement in Pakistan. UMT Education Review, 7(2), 22–49. https://doi.org/10.32350/uer.72.02",,,,,,,,,,,,,,,,,
2025-01-10,Aisha Naz Ansari,Article,2024,School System and Student Performance: Examining Science and Mathematics Achievement in Pakistan,Secondary Author,Alumni/Student,Published,"Bhutta, S. M., Ahmad, S., & Ansari, A. N. (2024). School system and student performance: Examining science and mathematics achievement in Pakistan. UMT Education Review, 7(2), 22–49. https://doi.org/10.32350/uer.72.02",,,,,,,,,,,,,,,,,
2024-12-30,Yasmeen Mehboob,Article,2024,Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting,Secondary Author,IED,Published,"Lasi, S., Baig, T. Y., & Mehboob, Y. (2024). Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting. Theory and Practice in Child Development, 4(2), 1-17. https://doi.org/10.46303/tpicd.2024.8",,,,,,,,,,,,,,,,,
2024-12-30,Seema Lasi,Article,2024,Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting,Main Author,External,Published,"Lasi, S., Baig, T. Y., & Mehboob, Y. (2024). Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting. Theory and Practice in Child Development, 4(2), 1-17. https://doi.org/10.46303/tpicd.2024.8",,,,,,,,,,,,,,,,,
2024-12-30,Taiba Yar Baig,Article,2024,Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting,Secondary Author,Alumni/Student,Published,"Lasi, S., Baig, T. Y., & Mehboob, Y. (2024). Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting. Theory and Practice in Child Development, 4(2), 1-17. https://doi.org/10.46303/tpicd.2024.8",,,,,,,,,,,,,,,,,
2024-12-23,Zubaida Faisal Virani,Book Chapter,2024,AI and Society: Fostering Inclusive Education for the Future of Education,Main Author,Alumni/Student,Published,"Virani, Z.F. & Gulzar, S. (2024). AI and Society: Fostering Inclusive Education for the Future of Education. In M. A. Qidwai, Intersection of Human Rights and AI in Healthcare (pp. 497-514). Hershey, Pennsylvania,: IGI Global.",,,,,,,,,,,,,,,,,
2024-12-23,Saleema Gulzar,Book Chapter,2024,AI and Society: Fostering Inclusive Education for the Future of Education,Secondary Author,External,Published,"Virani, Z.F. & Gulzar, S. (2024). AI and Society: Fostering Inclusive Education for the Future of Education. In M. A. Qidwai, Intersection of Human Rights and AI in Healthcare (pp. 497-514). Hershey, Pennsylvania,: IGI Global.

",,,,,,,,,,,,,,,,,
2024-11-15,Sohail Ahmad,Book Chapter,2024,"Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement.",Main Author,Alumni/Student,Published,"Ahmad, S., Ahmed, A., Bhutta, S.M. and Ansari, A.N. (2024), ""Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement"", Lytras, M.D., Alkhaldi, A., Malik, S., Serban, A.C. and Aldosemani, T. (Ed.) The Evolution of Artificial Intelligence in Higher Education (Emerald Studies in Active and Transformative Learning in Higher Education), Emerald Publishing Limited, Leeds, pp. 111-127. https://doi.org/10.1108/978-1-83549-486-820241007",,,,,,,,,,,,,,,,,
2024-11-15,Sadia Muzaffar Bhutta,Book Chapter,2024,"Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement.",Secondary Author,IED,Published,"Ahmad, S., Ahmed, A., Bhutta, S.M. and Ansari, A.N. (2024), ""Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement"", Lytras, M.D., Alkhaldi, A., Malik, S., Serban, A.C. and Aldosemani, T. (Ed.) The Evolution of Artificial Intelligence in Higher Education (Emerald Studies in Active and Transformative Learning in Higher Education), Emerald Publishing Limited, Leeds, pp. 111-127. https://doi.org/10.1108/978-1-83549-486-820241007",,,,,,,,,,,,,,,,,
2024-11-15,Aisha Naz Ansari,Book Chapter,2024,"Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement.",Secondary Author,Alumni/Student,Published,"Ahmad, S., Ahmed, A., Bhutta, S.M. and Ansari, A.N. (2024), ""Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement"", Lytras, M.D., Alkhaldi, A., Malik, S., Serban, A.C. and Aldosemani, T. (Ed.) The Evolution of Artificial Intelligence in Higher Education (Emerald Studies in Active and Transformative Learning in Higher Education), Emerald Publishing Limited, Leeds, pp. 111-127. https://doi.org/10.1108/978-1-83549-486-820241007",,,,,,,,,,,,,,,,,
2024-11-15,Afaq Ahmed,Book Chapter,2024,"Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement.",Secondary Author,Alumni/Student,Published,"Ahmad, S., Ahmed, A., Bhutta, S.M. and Ansari, A.N. (2024), ""Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement"", Lytras, M.D., Alkhaldi, A., Malik, S., Serban, A.C. and Aldosemani, T. (Ed.) The Evolution of Artificial Intelligence in Higher Education (Emerald Studies in Active and Transformative Learning in Higher Education), Emerald Publishing Limited, Leeds, pp. 111-127. https://doi.org/10.1108/978-1-83549-486-820241007",,,,,,,,,,,,,,,,,
2024-11-14,Ali Gohar Qazi,Article,2024,Conceptualising a data analytics framework to support targeted teacher professional development,Main Author,Alumni/Student,Published,"Qazi, A. G., & Pachler, N. (2024). Conceptualising a data analytics framework to support targeted teacher professional development. Professional Development in Education, 1–24. https://doi.org/10.1080/19415257.2024.2422066",,,,,,,,,,,,,,,,,
2024-11-14,Norbert Pachler,Article,2024,Conceptualising a data analytics framework to support targeted teacher professional development,Secondary Author,External,Published,"Qazi, A. G., & Pachler, N. (2024). Conceptualising a data analytics framework to support targeted teacher professional development. Professional Development in Education, 1–24. https://doi.org/10.1080/19415257.2024.2422066",,,,,,,,,,,,,,,,,
2024-06-01,Sadia Muzaffar Bhutta,Article,2024,Gender Disparity in Students’ Performance of Science and Mathematics: Evidence from Nationwide Study in Pakistan,Main Author,IED,Published,"Bhutta, S. M., Ansari, A. N., & Ahmad, S. (2024). Gender Disparity in Students' Performance of Science and Mathematics: Evidence from Nationwide Study in Pakistan. Journal of Education and Educational Development, 11(1), 25-44. ",,,,,,,,,,,,,,,,,
2024-06-01,Sohail Ahmad,Article,2024,Gender Disparity in Students’ Performance of Science and Mathematics: Evidence from Nationwide Study in Pakistan,Secondary Author,Alumni/Student,Published,"Bhutta, S. M., Ansari, A. N., & Ahmad, S. (2024). Gender Disparity in Students' Performance of Science and Mathematics: Evidence from Nationwide Study in Pakistan. Journal of Education and Educational Development, 11(1), 25-44. ",,,,,,,,,,,,,,,,,
2024-06-01,Aisha Naz Ansari,Article,2024,Gender Disparity in Students’ Performance of Science and Mathematics: Evidence from Nationwide Study in Pakistan,Secondary Author,IED,Published,"Bhutta, S. M., Ansari, A. N., & Ahmad, S. (2024). Gender Disparity in Students' Performance of Science and Mathematics: Evidence from Nationwide Study in Pakistan. Journal of Education and Educational Development, 11(1), 25-44. ",,,,,,,,,,,,,,,,,
