id,unique_key,Entry Date,Faculty,Publication Type,Year,Title,Role,Affiliation,Status,Reference,Theme,source,last_modified
11,7963dbf2fcbe2e397fd9ced9cc542e83,2025-05-23 00:00:00,Farid Panjwani,Book Chapter,2025.0,Malaise of Artificial Intelligence in Education: A Reflective Stance,Secondary Author,IED,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,csv,2025-08-15T06:24:18+00:00
12,23b6b9d431b3ccec21040d10bef345e6,2025-05-23 00:00:00,Sadia Muzaffar Bhutta,Book Chapter,2025.0,Malaise of Artificial Intelligence in Education: A Reflective Stance,Secondary Author,IED,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,csv,2025-08-15T06:24:18+00:00
13,841db852e90c57734a8f93e7d3979a03,2025-05-23 00:00:00,Sohail Ahmad,Book Chapter,2025.0,Malaise of Artificial Intelligence in Education: A Reflective Stance,Secondary Author,Alumni/Student,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,csv,2025-08-15T06:24:18+00:00
14,6d6e4603f73f4d02dee3eea26e2db290,2025-05-21 00:00:00,Nazim Aman,Article,2025.0,Muslim teachers’ voices on citizenship education: negotiating faith and democracy,Main Author,IED,Published,"Aman-Hunzai, N., Kennedy, K. J., & Zhao, Z. (2025). Muslim teachers’ voices on citizenship education: negotiating faith and democracy. Journal of Beliefs & Values, 1–19. https://doi.org/10.1080/13617672.2025.2504828",,csv,2025-08-15T06:24:18+00:00
15,4acbc8e7fe97f66ce01583fac65f9972,2025-05-21 00:00:00,Kerry J. Kennedy,Article,2025.0,Muslim teachers’ voices on citizenship education: negotiating faith and democracy,Secondary Author,External,Published,"Aman-Hunzai, N., Kennedy, K. J., & Zhao, Z. (2025). Muslim teachers’ voices on citizenship education: negotiating faith and democracy. Journal of Beliefs & Values, 1–19. https://doi.org/10.1080/13617672.2025.2504828",,csv,2025-08-15T06:24:18+00:00
16,63b653ebba9be627e363031deceb4d4b,2025-05-21 00:00:00,Zhenzhou Zhao,Article,2025.0,Muslim teachers’ voices on citizenship education: negotiating faith and democracy,Secondary Author,External,Published,"Aman-Hunzai, N., Kennedy, K. J., & Zhao, Z. (2025). Muslim teachers’ voices on citizenship education: negotiating faith and democracy. Journal of Beliefs & Values, 1–19. https://doi.org/10.1080/13617672.2025.2504828",,csv,2025-08-15T06:24:18+00:00
17,39af8045838e64e5783b31bb63ee3f34,2025-05-07 00:00:00,Nasima Shakeel,Article,2024.0,A Quest for Gender Equity: Exploring the Existing Positioning of Children and Teachers in an Early Childhood Classroom in Karachi Pakistan,Main Author,IED,Published,"Shakeel, N., & Ashraf, D. (2024). A quest for gender equity: Exploring the existing positioning of children and teachers in an early childhood classroom in Karachi, Pakistan. Journal of Education & Social Sciences, 12(1), 68–82.",,csv,2025-08-15T06:24:18+00:00
18,ae9899e93e0d9bdf2a37a8cd7e269bcf,2025-05-07 00:00:00,Dilshad Ashraf,Article,2024.0,A Quest for Gender Equity: Exploring the Existing Positioning of Children and Teachers in an Early Childhood Classroom in Karachi Pakistan,Secondary Author,IED,Published,"Shakeel, N., & Ashraf, D. (2024). A quest for gender equity: Exploring the existing positioning of children and teachers in an early childhood classroom in Karachi, Pakistan. Journal of Education & Social Sciences, 12(1), 68–82.",,csv,2025-08-15T06:24:18+00:00
19,e56078fec729100493580968b5eb2753,2025-05-02 00:00:00,Tasneem Anwar,Book Chapter,2025.0,Muslim Women in STEM: Stories From the East and West,Main Author,IED,Published,"El-Deghaidy, H. & Anwar, T. (2025). Muslim Women in STEM: Stories From the East and West. In M. Shahat & S. Al-Balushi (Eds.), Cross-Cultural Comparisons of Science Education (pp. 75-94). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-5743-9.ch003",,csv,2025-08-15T06:24:18+00:00
20,95e2a15808d4b9677bb66bcacc232eda,2025-05-02 00:00:00,Heba EL-Deghaidy,Book Chapter,2025.0,Muslim Women in STEM: Stories From the East and West,Secondary Author,External,Published,"El-Deghaidy, H. & Anwar, T. (2025). Muslim Women in STEM: Stories From the East and West. In M. Shahat & S. Al-Balushi (Eds.), Cross-Cultural Comparisons of Science Education (pp. 75-94). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-5743-9.ch003",,csv,2025-08-15T06:24:18+00:00
21,e8f0258ca16f2969718704a8ef67c9a9,2025-04-09 00:00:00,Fozia Parveen,Article,2025.0,"The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan",Secondary Author,External,Published,"Jabeen, T., Parveen, F., & Shakeel, N. (2025). The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan. The Journal of Environmental Education, 1–15. https://doi.org/10.1080/00958964.2025.2480112",,csv,2025-08-15T06:24:18+00:00
22,f30f5efa9e6a9a7fb0221dc2d562bb8b,2025-04-09 00:00:00,Nasima Shakeel,Article,2025.0,"The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan",Secondary Author,IED,Published,"Jabeen, T., Parveen, F., & Shakeel, N. (2025). The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan. The Journal of Environmental Education, 1–15. https://doi.org/10.1080/00958964.2025.2480112",,csv,2025-08-15T06:24:18+00:00
23,bc4ea42f2772e33afd0b77a38d759bdf,2025-04-09 00:00:00,Tahira Jabeen,Article,2025.0,"The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan",Main Author,Alumni/Student,Published,"Jabeen, T., Parveen, F., & Shakeel, N. (2025). The transformative potential of nature-based activities: A pilot study of early childhood education (ECE) in Karachi, Pakistan. The Journal of Environmental Education, 1–15. https://doi.org/10.1080/00958964.2025.2480112",,csv,2025-08-15T06:24:18+00:00
24,eea6c603895b2db8276ae6db799ee6dc,2025-02-07 00:00:00,Rabia Nauman,Article,2025.0,Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies,Main Author,IED,Published,"Nauman, R., & Habib, Z. (2025). Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies . Hamdard Educus, 3(2), 09–29. Retrieved from https://hamdardeducus.com/index.php/he/article/view/56",,csv,2025-08-15T06:24:18+00:00
25,730d2b72cde14f7def37a305a5ca84e1,2025-02-07 00:00:00,Zehra Habib,Article,2025.0,Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies,Secondary Author,External,Published,"Nauman, R., & Habib, Z. (2025). Environmental Factors Causing Stress in Primary School Teachers in Pakistan: Effects and Coping strategies . Hamdard Educus, 3(2), 09–29. Retrieved from https://hamdardeducus.com/index.php/he/article/view/56",,csv,2025-08-15T06:24:18+00:00
26,e09e9196c39768b662b69243107b1f10,2025-02-06 00:00:00,Sohail Ahmad,Book Chapter,2025.0,Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell.,Main Author,IED,Published,"Ahmad, S., & Rizvi, M. (2024). Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell. In M. D. Lytras & A. C. Serban (Eds.), Academic accreditation and evaluation in higher education: Practices, experiences, and quality assurance (pp. 137-162). IGI Global Scientific Publishing",,csv,2025-08-15T06:24:18+00:00
27,ac572373368532f4e0f9f929edf36ece,2025-02-06 00:00:00,Meher Rizvi,Book Chapter,2025.0,Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell.,Secondary Author,IED,Published,"Ahmad, S., & Rizvi, M. (2024). Promoting internal quality assurance in the universities of Pakistan: Experiences of quality enhancement cell. In M. D. Lytras & A. C. Serban (Eds.), Academic accreditation and evaluation in higher education: Practices, experiences, and quality assurance (pp. 137-162). IGI Global Scientific Publishing",,csv,2025-08-15T06:24:18+00:00
28,adc67a99a7cd67d79f71db8851828d0e,2025-01-24 00:00:00,Sadia Muzaffar Bhutta,Book Chapter,2025.0,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Main Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,csv,2025-08-15T06:24:18+00:00
29,37e9beb6d69260fed9bacb93891882a1,2025-01-24 00:00:00,Aisha Naz Ansari,Book Chapter,2025.0,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,csv,2025-08-15T06:24:18+00:00
30,da5a6cf75aa4f9ba5d342a2985447aaf,2025-01-24 00:00:00,Sohail Ahmad,Book Chapter,2025.0,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,csv,2025-08-15T06:24:18+00:00
31,94fe65160aa2f65e3c83d8bd7955f953,2025-01-24 00:00:00,Kiran Qasim Ali,Book Chapter,2025.0,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,IED,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,csv,2025-08-15T06:24:18+00:00
32,560b85b8eae60c49a26352ec6f6983d9,2025-01-24 00:00:00,Afaq Ahmed,Book Chapter,2025.0,"Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey",Secondary Author,External,Published,"Bhutta, S. M., Ahmad, S., Ansari, A. N., Ahmed, A., & Ali, K. Q. (2025). Exploring Knowledge, Will, Skills, Technological Support, and Use of ChatGPT in Higher Education: A Cross-Sectional Survey. In G. Sart & F. Sezgin (Eds.), AI Adoption and Diffusion in Education (pp. 359-382). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7949-3.ch013",,csv,2025-08-15T06:24:18+00:00
33,cfcfc424a6e39a92d53416c4c8d08426,2025-01-22 00:00:00,Arusa Lakhani,Article,2025.0,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Main Author,External,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045",,csv,2025-08-15T06:24:18+00:00
34,6a46653cc4e01d1428f7fc36849de4db,2025-01-22 00:00:00,Tazeen Saeed Ali,Article,2025.0,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045",,csv,2025-08-15T06:24:18+00:00
35,dcde20e2dd1b820fa44018b25c6a0215,2025-01-22 00:00:00,Dilshad Ashraf,Article,2025.0,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Secondary Author,IED,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045",,csv,2025-08-15T06:24:18+00:00
36,638f72b73d44958bef6fb222508b4d25,2025-01-22 00:00:00,Debora Kramer Roy,Article,2025.0,Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability,Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Ashraf, D., & Roy, D. K. (2025). Exploring Informal Social Support Experiences and Coping Strategies in Families Raising a Child with an Intellectual Disability. The Family Journal, 33(1), 150-171. https://doi.org/10.1177/10664807241283045",,csv,2025-08-15T06:24:18+00:00
37,a8f9de2d86b65f16ded5c99eda15d34b,2025-01-22 00:00:00,Arusa Lakhani,Article,2024.0,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Main Author,External,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,csv,2025-08-15T06:24:18+00:00
38,5226c61d45096b195a426bde7b3edc51,2025-01-22 00:00:00,Tazeen Saeed Ali,Article,2024.0,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,csv,2025-08-15T06:24:19+00:00
39,dd9c3f45b49cbd96d79d20722d57281e,2025-01-22 00:00:00,Dilshad Ashraf,Article,2024.0,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Secondary Author,IED,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,csv,2025-08-15T06:24:19+00:00
40,84efb72697c46f46e748616b2c64228c,2025-01-22 00:00:00,Debora Kramer Roy,Article,2024.0,"Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design.",Secondary Author,External,Published,"Lakhani, A., Ali, T. S., Kramer-Roy, D., & Ashraf, D. (2024). Informal social support for families with children with an intellectual disability in Karachi, Pakistan: A qualitative exploratory study design. Heliyon, 10(20).",,csv,2025-08-15T06:24:19+00:00
41,32261c5bfd0edbd0a9109f60ca7fa38b,2025-01-22 00:00:00,Arusa Lakhani,Article,2024.0,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Main Author,External,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,csv,2025-08-15T06:24:19+00:00
42,41ae2cb5e0adb1c90cd196591a21df80,2025-01-22 00:00:00,Tazeen Saeed Ali,Article,2024.0,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Secondary Author,External,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,csv,2025-08-15T06:24:19+00:00
43,75ddc8452ccdccd2d550cabae654dfbc,2025-01-22 00:00:00,Dilshad Ashraf,Article,2024.0,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Secondary Author,IED,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,csv,2025-08-15T06:24:19+00:00
44,ceb73e14513e357886a00ab70c3ad72d,2025-01-22 00:00:00,Debora Kramer Roy,Article,2024.0,Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities.,Secondary Author,External,Published,"Lakhani, A., Kramer-Roy, D., Ali, T. S., & Ashraf, D. (2024). Perseverance in Search of Support: Insights from Siblings of Individuals with Intellectual Disabilities. Kurdish Studies; Volume: 12, (5), pp 1078-1083",,csv,2025-08-15T06:24:19+00:00
45,27ca997040dd0ccbdf46805b4ebedda5,2025-01-10 00:00:00,Sadia Muzaffar Bhutta,Article,2024.0,School System and Student Performance: Examining Science and Mathematics Achievement in Pakistan,Main Author,IED,Published,"Bhutta, S. M., Ahmad, S., & Ansari, A. N. (2024). School system and student performance: Examining science and mathematics achievement in Pakistan. UMT Education Review, 7(2), 22–49. https://doi.org/10.32350/uer.72.02",,csv,2025-08-15T06:24:19+00:00
46,c1c037f20ac1a9df95bb4db7d745b500,2025-01-10 00:00:00,Sohail Ahmad,Article,2024.0,School System and Student Performance: Examining Science and Mathematics Achievement in Pakistan,Secondary Author,Alumni/Student,Published,"Bhutta, S. M., Ahmad, S., & Ansari, A. N. (2024). School system and student performance: Examining science and mathematics achievement in Pakistan. UMT Education Review, 7(2), 22–49. https://doi.org/10.32350/uer.72.02",,csv,2025-08-15T06:24:19+00:00
47,cb952888aa5a18cd3eb87455e7cbf7e3,2025-01-10 00:00:00,Aisha Naz Ansari,Article,2024.0,School System and Student Performance: Examining Science and Mathematics Achievement in Pakistan,Secondary Author,Alumni/Student,Published,"Bhutta, S. M., Ahmad, S., & Ansari, A. N. (2024). School system and student performance: Examining science and mathematics achievement in Pakistan. UMT Education Review, 7(2), 22–49. https://doi.org/10.32350/uer.72.02",,csv,2025-08-15T06:24:19+00:00
48,a3244fc0e3c8835f40bbea0f22312873,2024-12-30 00:00:00,Yasmeen Mehboob,Article,2024.0,Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting,Secondary Author,IED,Published,"Lasi, S., Baig, T. Y., & Mehboob, Y. (2024). Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting. Theory and Practice in Child Development, 4(2), 1-17. https://doi.org/10.46303/tpicd.2024.8",,csv,2025-08-15T06:24:19+00:00
49,ce2faa662e6c88fd8f196346dfdc3275,2024-12-30 00:00:00,Seema Lasi,Article,2024.0,Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting,Main Author,External,Published,"Lasi, S., Baig, T. Y., & Mehboob, Y. (2024). Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting. Theory and Practice in Child Development, 4(2), 1-17. https://doi.org/10.46303/tpicd.2024.8",,csv,2025-08-15T06:24:19+00:00
50,e1e9376e3281aa7a4f5e28e29b53d6ec,2024-12-30 00:00:00,Taiba Yar Baig,Article,2024.0,Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting,Secondary Author,Alumni/Student,Published,"Lasi, S., Baig, T. Y., & Mehboob, Y. (2024). Early Childhood Development in Pakistan: A Human-Centered Design Approach to Empower Positive Parenting. Theory and Practice in Child Development, 4(2), 1-17. https://doi.org/10.46303/tpicd.2024.8",,csv,2025-08-15T06:24:19+00:00
51,fcdd6fb2c1b5221f6f4365d05e3499e2,2024-12-23 00:00:00,Zubaida Faisal Virani,Book Chapter,2024.0,AI and Society: Fostering Inclusive Education for the Future of Education,Main Author,Alumni/Student,Published,"Virani, Z.F. & Gulzar, S. (2024). AI and Society: Fostering Inclusive Education for the Future of Education. In M. A. Qidwai, Intersection of Human Rights and AI in Healthcare (pp. 497-514). Hershey, Pennsylvania,: IGI Global.",,csv,2025-08-15T06:24:19+00:00
52,0f92814a7ab9881de91f1066ed4c1df2,2024-12-23 00:00:00,Saleema Gulzar,Book Chapter,2024.0,AI and Society: Fostering Inclusive Education for the Future of Education,Secondary Author,External,Published,"Virani, Z.F. & Gulzar, S. (2024). AI and Society: Fostering Inclusive Education for the Future of Education. In M. A. Qidwai, Intersection of Human Rights and AI in Healthcare (pp. 497-514). Hershey, Pennsylvania,: IGI Global.",,csv,2025-08-15T06:24:19+00:00
53,b1f4fbc3a2f3e5401143d618669e57a9,2024-11-15 00:00:00,Sohail Ahmad,Book Chapter,2024.0,"Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement.",Main Author,Alumni/Student,Published,"Ahmad, S., Ahmed, A., Bhutta, S.M. and Ansari, A.N. (2024), ""Transforming Teaching Learning With Chatbots in Higher Education: Quest, Opportunities and Challenges for Quality Enhancement"", Lytras, M.D., Alkhaldi, A., Malik, S., Serban, A.C. and Aldosemani, T. (Ed.) The Evolution of Artificial Intelligence in Higher Education (Emerald Studies in Active and Transformative Learning in Higher Education), Emerald Publishing Limited, Leeds, pp. 111-127. https://doi.org/10.1108/978-1-83549-486-820241007",,csv,2025-08-15T06:24:19+00:00
